Genre,Year,Rating
Drama,2017,7.3
 Romance,2017,7.3
Drama,2021,7.8
 Thriller,2021,7.8
Action,2009,7.8
Action,2010,7.8
Action,2011,7.8
Action,2012,7.8
Action,2013,7.8
 Mystery,2009,7.8
 Mystery,2010,7.8
 Mystery,2011,7.8
 Mystery,2012,7.8
 Mystery,2013,7.8
 Romance,2009,7.8
 Romance,2010,7.8
 Romance,2011,7.8
 Romance,2012,7.8
 Romance,2013,7.8
Fantasy,2020,8.0
 Mystery,2020,8.0
 Thriller,2020,8.0
Action,2019,8.2
 Comedy,2019,8.2
 Crime,2019,8.2
Drama,2017,7.5
 Fantasy,2017,7.5
 Romance,2017,7.5
Animation,2015,6.2
 Adventure,2015,6.2
 Family,2015,6.2
Crime,2020,7.5
 Fantasy,2020,7.5
 Mystery,2020,7.5
Comedy,2016,7.3
 Romance,2016,7.3
Fantasy,2021,-
 Thriller,2021,-
Comedy,2021,8.5
 Romance,2021,8.5
Action,2019,7.9
 Comedy,2019,7.9
 History,2019,7.9
Drama,2019,8.2
 Mystery,2019,8.2
 Romance,2019,8.2
Animation,2017,6.5
Animation,2018,6.5
Animation,2019,6.5
 Short,2017,6.5
 Short,2018,6.5
 Short,2019,6.5
 Action,2017,6.5
 Action,2018,6.5
 Action,2019,6.5
Action,2017,7.4
 Drama,2017,7.4
 Thriller,2017,7.4
Drama,2019,7.7
Drama,2020,7.7
 Romance,2019,7.7
 Romance,2020,7.7
Comedy,2016,7.6
 Fantasy,2016,7.6
 Romance,2016,7.6
Comedy,2020,8.0
 Drama,2020,8.0
 Fantasy,2020,8.0
Crime,2017,8.2
 Drama,2017,8.2
 Mystery,2017,8.2
Comedy,2017,6.7
Comedy,2018,6.7
Comedy,2019,6.7
 Romance,2017,6.7
 Romance,2018,6.7
 Romance,2019,6.7
Biography,2009,8.8
 Drama,2009,8.8
 History,2009,8.8
Comedy,2019,7.8
 Drama,2019,7.8
 Fantasy,2019,7.8
Comedy,2014,8.3
 Drama,2014,8.3
 Romance,2014,8.3
Comedy,2020,7.2
 Drama,2020,7.2
 Romance,2020,7.2
Crime,2018,7.4
 Drama,2018,7.4
 Thriller,2018,7.4
Comedy,2017,7.2
 Drama,2017,7.2
 Romance,2017,7.2
Drama,2020,7.7
 Music,2020,7.7
 Romance,2020,7.7
Animation,1993,6.8
Animation,1994,6.8
 Short,1993,6.8
 Short,1994,6.8
 Action,1993,6.8
 Action,1994,6.8
Horror,2021,6.6
 Mystery,2021,6.6
 Thriller,2021,6.6
Comedy,2010,7.4
 Drama,2010,7.4
 Romance,2010,7.4
Comedy,2010,7.8
 Fantasy,2010,7.8
 Romance,2010,7.8
Action,2021,6.7
 Fantasy,2021,6.7
 Sci-Fi,2021,6.7
Comedy,2018,7.5
 Drama,2018,7.5
 Romance,2018,7.5
Action,2020,7.5
 Drama,2020,7.5
 Mystery,2020,7.5
Crime,2018,7.9
 Drama,2018,7.9
 Mystery,2018,7.9
Drama,2012,7.7
Comedy,2020,7.4
 Fantasy,2020,7.4
 Mystery,2020,7.4
Drama,2017,8.3
 Fantasy,2017,8.3
 Romance,2017,8.3
Comedy,2021,7.7
 Music,2021,7.7
 Romance,2021,7.7
Comedy,2018,7.5
 Romance,2018,7.5
Animation,2007,5.7
Animation,2008,5.7
Animation,2009,5.7
